timestamp_seconds,raw
0.081,":"""""
0.083,"ptaue""""{""SpeedOutputFeature"":""D""}"
0.104,"{""SpeedOutputFeature"":""""eOtutetr""}"
0.120,"{""SpeedOutputFeature"":""D""}"
6.343,"848.193,""cmps"",30.3"
6.349,"848.252,""cm"",111.0"
6.429,"848.284,""cmps"",30.3"
6.439,"848.343,""cm"",111.0"
6.521,"848.375,""cmps"",42.5"
6.530,"848.434,""cm"",289.5"
6.611,"848.466,""cmps"",12.1"
6.621,"848.525,""cm"",289.5"
6.700,"848.557,""cmps"",6.1"
6.711,"848.616,""cm"",289.5"
6.791,"848.647,""cmps"",6.1"
6.802,"848.706,""cm"",281.1"
6.882,"848.737,""cmps"",-18.2"
6.893,"848.796,""cm"",289.6"
6.972,"848.828,""cmps"",6.1"
6.982,"848.887,""cm"",281.1"
7.062,"848.918,""cmps"",6.1"
7.072,"848.977,""cm"",281.1"
14.182,"856.037,""cmps"",39.4"
14.192,"856.096,""cm"",281.1"
14.628,"856.483,""cmps"",21.2"
14.638,"856.542,""cm"",289.5"
14.861,"856.716,""cmps"",-15.2"
14.874,"856.775,""cm"",272.6"
15.023,"856.878,""cmps"",-21.2"
15.034,"856.937,""cm"",111.1"
19.587,"861.442,""cmps"",63.7"
19.597,"861.501,""cm"",281.1"
20.033,"861.888,""cmps"",33.4"
20.043,"861.947,""cm"",111.1"
20.124,"861.979,""cmps"",15.2"
20.135,"862.038,""cm"",68.1"
20.214,"862.069,""cmps"",33.4"
20.224,"862.128,""cm"",111.0"
20.308,"862.160,""cmps"",18.2"
20.315,"862.219,""cm"",111.1"
20.396,"862.251,""cmps"",18.2"
20.406,"862.310,""cm"",111.3"
20.485,"862.342,""cmps"",6.1"
20.496,"862.401,""cm"",111.9"
20.577,"862.432,""cmps"",-12.1"
20.588,"862.491,""cm"",112.0"
20.668,"862.523,""cmps"",-9.1"
20.678,"862.582,""cm"",111.3"
20.830,"862.685,""cmps"",-27.3"
20.840,"862.744,""cm"",112.1"
20.921,"862.776,""cmps"",-15.2"
20.931,"862.835,""cm"",112.1"
21.225,"863.080,""cmps"",-12.1"
21.235,"863.139,""cm"",68.1"
21.316,"863.171,""cmps"",-18.2"
21.326,"863.230,""cm"",68.1"
21.411,"863.262,""cmps"",-33.4"
21.420,"863.325,""cm"",59.7"
21.508,"863.357,""cmps"",-27.3"
21.519,"863.424,""cm"",59.6"
21.599,"863.455,""cmps"",-21.2"
21.610,"863.515,""cm"",59.7"
21.690,"863.546,""cmps"",-21.2"
21.701,"863.605,""cm"",68.1"
21.782,"863.637,""cmps"",-15.2"
21.792,"863.696,""cm"",68.1"
21.872,"863.728,""cmps"",-15.2"
21.883,"863.787,""cm"",111.2"
21.963,"863.819,""cmps"",9.1"
21.974,"863.878,""cm"",111.4"
22.053,"863.909,""cmps"",12.1"
22.064,"863.968,""cm"",111.2"
22.216,"864.070,""cmps"",-9.1"
22.226,"864.129,""cm"",68.1"
22.448,"864.302,""cmps"",-9.1"
22.457,"864.361,""cm"",68.1"
22.544,"864.392,""cmps"",-12.1"
22.548,"864.451,""cm"",68.1"
22.628,"864.483,""cmps"",-9.1"
22.638,"864.542,""cm"",68.1"
24.352,"866.206,""cmps"",-12.1"
24.364,"866.265,""cm"",255.5"
24.447,"866.297,""cmps"",-30.3"
24.454,"866.356,""cm"",255.5"
24.534,"866.388,""cmps"",-45.5"
24.545,"866.447,""cm"",255.5"
24.625,"866.479,""cmps"",-48.5"
24.636,"866.538,""cm"",255.5"
24.716,"866.570,""cmps"",-39.4"
24.727,"866.629,""cm"",264.0"
24.808,"866.661,""cmps"",-30.3"
24.820,"866.720,""cm"",264.1"
24.899,"866.752,""cmps"",-21.2"
24.909,"866.811,""cm"",272.5"
24.989,"866.843,""cmps"",-12.1"
24.998,"866.902,""cm"",76.6"
25.080,"866.934,""cmps"",-15.2"
25.090,"866.993,""cm"",76.6"
25.170,"867.026,""cmps"",-3.0"
25.181,"867.085,""cm"",76.7"
25.544,"867.400,""cmps"",9.1"
25.554,"867.459,""cm"",111.0"
25.990,"867.845,""cmps"",-12.1"
26.000,"867.904,""cm"",76.6"
26.083,"867.936,""cmps"",-12.1"
26.091,"867.995,""cm"",76.6"
26.173,"868.027,""cmps"",-15.2"
26.182,"868.086,""cm"",76.6"
26.262,"868.118,""cmps"",9.1"
26.273,"868.177,""cm"",110.9"
27.417,"869.273,""cmps"",9.1"
27.428,"869.332,""cm"",264.0"
27.507,"869.363,""cmps"",12.1"
27.517,"869.422,""cm"",255.5"
27.599,"869.454,""cmps"",12.1"
27.608,"869.513,""cm"",255.5"
27.689,"869.545,""cmps"",15.2"
27.699,"869.604,""cm"",255.5"
27.780,"869.636,""cmps"",30.3"
27.791,"869.695,""cm"",255.5"
27.871,"869.727,""cmps"",39.4"
27.881,"869.786,""cm"",255.5"
27.962,"869.818,""cmps"",45.5"
27.972,"869.877,""cm"",247.0"
28.053,"869.909,""cmps"",33.4"
28.063,"869.968,""cm"",247.0"
28.144,"870.001,""cmps"",18.2"
28.159,"870.060,""cm"",247.0"
28.235,"870.092,""cmps"",9.1"
28.245,"870.151,""cm"",255.5"
28.325,"870.182,""cmps"",9.1"
28.335,"870.241,""cm"",255.5"
28.414,"870.272,""cmps"",6.1"
28.425,"870.331,""cm"",247.0"
28.505,"870.362,""cmps"",6.1"
28.517,"870.421,""cm"",255.5"
29.306,"871.162,""cmps"",-15.2"
29.317,"871.221,""cm"",255.5"
29.397,"871.253,""cmps"",-24.3"
29.408,"871.312,""cm"",264.0"
29.489,"871.344,""cmps"",-42.5"
29.499,"871.403,""cm"",264.0"
29.579,"871.435,""cmps"",-48.5"
29.590,"871.494,""cm"",255.5"
29.670,"871.526,""cmps"",-39.4"
29.681,"871.585,""cm"",255.5"
29.761,"871.617,""cmps"",-30.3"
29.772,"871.676,""cm"",255.5"
29.856,"871.708,""cmps"",-24.3"
29.863,"871.767,""cm"",255.5"
29.943,"871.799,""cmps"",-18.2"
29.954,"871.858,""cm"",255.5"
31.239,"873.096,""cmps"",9.1"
31.250,"873.155,""cm"",247.0"
31.334,"873.186,""cmps"",21.2"
31.341,"873.245,""cm"",247.0"
31.423,"873.277,""cmps"",27.3"
31.432,"873.336,""cm"",247.0"
31.512,"873.368,""cmps"",36.4"
31.523,"873.427,""cm"",247.0"
31.603,"873.459,""cmps"",48.5"
31.614,"873.518,""cm"",255.5"
31.696,"873.550,""cmps"",60.7"
